"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"Madison, IN",730,,,,,,,,,,,,,,,,82.8249336870027,82.8125,82.9316976127321,82.2457378012934,80.858522463592,78.859649122807,79.8796675191816,79.3650793650794,76.3924374041901,76.6761363636364,73,74,76.3924374041901,76.1930482389307,75.8603238866397,76.8461538461538,76.3906631465395,77.3355444997236,77.0434376459598,78.2562277580071,78.3959710218607,76.5366036811384,76.3888888888889,77.247191011236,78.2380013149244,76.5312917709886,79.0413094688885,78.6,80.8086253369272,80.4512288786482,79.3270782714335,79.7443691633305,79.5528522971604,80.1719197707736,77.7165926740383,76.7743214785464,76.8716577540107,80.1677327015165,81.9380053408501,81.9189971070395,81.7484662576687,81.5517541372377,80.9118023008095,80.8347529812606,80.619834422293,81.6596194503171,81.8063722251586,81.140350877193,82.5883669479317,85.1376714751779,84.7079166979926,83.0099267025873,80.7033363390442,78.6328105735562,75.9963768115942,75.5102040816327,75.5102040816327,76.7427495643515,76.4699641436653,77.9512195121951,78.7968441814596,79.9143878432442,78.5576882814528,79.655612244898,79.5138888888889,81.7646636990449,83.9588524363234,84.5199991526395,83.1853496115427,80.3813617481923,82.3148148148148,83.098569768258,85.3455123113582,85.6142331117797,85.8067717785844,86.1538461538462,90.695915279879,92.1052631578947,89.6333741830065,89.3300248138958,88.4033427200667,92.4277375201288
"Mount Pleasant, TX",731,84.1697541259683,84.1697541259683,87.3311597578016,83.065608584544,83.9260553854755,83.1568330811901,82.518337408313,81.0544611819235,78.9971617786187,73.7230419977299,74.2424242424242,71.9105877065204,71.3166144200627,73.3412976174452,73.3412976174452,71.9105877065204,75.6425674401056,77.8240511230202,78.395385422129,75.7477061898332,74.6169794082508,73.0936819172113,75.4688356591924,76.5317286652079,78.1107675413247,76.7729733373433,79.2801291248207,80.0943396226415,79.5786585365854,75.6336876533115,75.6500465549348,75.437962962963,80.3346825122239,82.1278021528434,84.3191539186019,84.0454545454545,84.3191539186019,84.1064397386053,83.5464806932198,83.8761652960667,81.6501716533372,78.5272914521112,80.750763858577,81.6501716533372,80.0866070982878,79.6376811594203,77.2693631462405,78.2431247564438,72.7513227513227,82.03125,82.03125,81.0767511440879,80.7692307692308,82.7166504381694,80.8663667480742,82.7578051087985,84.374778512281,82.2368421052632,81.5988647114475,79.3210258623129,83.5562987736901,87.4592960904748,87.1794871794872,88.4637876591593,88.2777777777778,88.3586785527006,83.5562987736901,85.101312264036,82.7222222222222,82.2368421052632,80.5806451612903,82.3715916296766,79.0030337610287,80.6834825061025,83.2916666666667,82.5412706353177,87.1533778809438,85.5198412698413,87.375,87.6177118024019,86,85.1951113784318,87.6811594202899,85.1805096878035,83.8559322033898,85.4467006383803,89.0799540902514,87.7458184041647,87.7458184041647,84.7597597597598,86.0400521226253,87.8681318681319,93.9852290357191,93.8359669399026,91.0898965791567,88.765541740675,91.2680560229093
"Paris, TN",732,76.741440377804,78.3514492753623,75.8311067670257,74.4203440538519,74.8704284371824,76.3288353721481,79.4020881088699,81.6373648463201,78.5424751802914,75.2165982672139,73.3333333333333,74.0598290598291,72.2222222222222,70.3957382039574,70.7722235098148,69.5786030469328,73.8708097243685,80.6249783053907,75.4371072649102,74.9464668094218,74.3243243243243,73.2044198895028,69.9690037305245,61.0119047619048,61.4955357142857,58.9401969156578,56.6306203756403,61.5571776155718,66.0484481453444,66.1688980432544,66.4813955865127,63.7019230769231,62.4544003647971,64.1233766233766,73.25,74.2240215924426,74.2240215924426,74.4733681862918,72.8961319681456,73.9285714285714,70.313713592233,68.7056288032454,72.0375106564365,72.7402101122238,70.0582181868519,66.3621262458472,69.5538057742782,73.7327188940092,74.7055380351682,75.5305898232727,77.0416024653313,72.2928009679371,73.9417989417989,74.7055380351682,75.24893314367,78.4161151392717,78.1101614434948,77.6935924946471,80.2679658952497,78.0290036242417,81.1610896610897,80.9413666328601,80.521327014218,81.844262295082,83.963282937365,81.8032786885246,80.5196688466678,77.5606926199599,81.0876623376623,81.6361556064073,82.8683035714286,82.7849753708077,79.9428571428571,81.2728937728938,80.1020408163265,79.0275995636357,78.5637149028078,80.6629254683743,80.9495773715566,80.3571428571429,80.0044942303799,79.4886363636364,77.8905430428805,79.7484731141486,79.6810060524579,75.8393393393393,76.7954743255004,77.0299567578276,77.6478232618583,77.5927086234104,78.7878787878788,77.944700606137,76.7160161507402,76.7160161507402,76.241134751773,77.6293823038397,78.0208333333333
"Columbus, NE",733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.733766233766,105.530303030303,104.571728849185,107.774131732465,111.426944765761,114.128128977514,114.377289377289,113.228438228438,111.343599033816,112.820512820513,116.497747747748,114.375103084282,115.177168447517,112.268518518519,107.568027210884,115.209137709138,114.903846153846,117.1875,116.071428571429,113.848039215686,111.806900465047,112.104615443612,112.336644014637,117.083206080966,118.048758259285,121.293498168498,116.902834008097,111.276483309711,112.696497517926,117.56040070713,116.904422253923,111.918016194332,114.650229357798,114.650229357798,114.650229357798,115.677918417217,119.052632790205,119.079200615898,122.46336996337,122.619047619048,125.021244785556,124.650698602794,119.650814871403,124.618902439024,120.177731312075,122.801177828755,122.995333050488,132.012195121951,132.012195121951,130.317639257294,127.160695129639,125.661375661376,127.741311718584,133.928571428571,128.28701681299,131.491228070175,131.491228070175,134.174311926605,127.638190954774
"Brookings, SD",734,119.475550449778,111.213200038358,109.263521288838,107.009258039009,105.057202560662,102.372902122286,102.372902122286,100.963977676306,92.5719900524206,95.1785714285714,99.3130385845868,98.9215989321718,101.50104473943,103.8901581085,104.459011536396,94.6590909090909,92.5321619077502,92.2941176470588,92.7651515151515,92.9015630993479,89.6135825808608,89.6135825808608,89.0819964349376,91.3251961639058,93.284650482537,93.7523662020306,95.2131438721137,93.0764206401045,92.8449764521193,92.1899529042386,91.6652684563758,91.2831591972315,90.642619225816,90.679012345679,94.3181818181818,105.6592039801,112.504934210526,113.25,118.858955938697,121.52032575965,125.730519480519,125.730519480519,128.782894736842,122.547846889952,124.806201550388,122.547846889952,118.589743589744,117.852537871714,119.38770229866,123.863505315452,124.192212096106,124.116613769988,130.052151238592,130.052151238592,134.190168429299,134.998592342342,132.973905191033,128.805930930931,129.434850863422,137.574404761905,142.058823529412,129.23197492163,135.441767068273,136.442937321356,136.248415716096,131.065573770492,123.031496062992,123.183734939759,122.570390554042,123.031496062992,122.542786738351,123.088307844105,122.487137607187,123.295938104449,123.622649072456,126.991758241758,127.854330708661,137.550200803213,135.934914189396,130.210918114144,131.031468531469,130.841121495327,132.918527274319,134.504657877533,134.117470476457,138.856756360232,138.75,138.157894736842,136.049390319005,137.608695652174,138.155847145488,140.05016722408,140.05016722408,152.699158201821,152.541424351519,157.899305555556,157.195726076207
"Kennett, MO",735,55.9210526315789,59.1016548463357,57.2481482052098,51.1636233440745,55.0827423167849,52.6477832512315,51.2214342001576,51.25,50.6739317056731,50,49.3684210526316,47.9482209400168,48.3351235230935,49.4318181818182,51.25,51.0378912685338,51.25,48.1431143388128,44.75,47.404289073573,45.8229719274978,48.4907431896324,51.2176724137931,51.1853448275862,53.8461538461538,53.8461538461538,47.3977174917913,50.561797752809,50.561797752809,48.8374363327674,49.9651094027203,51.8252521570057,51.3428120063191,51.0178684393375,51.4647639367389,51.5867158671587,53.7691091196626,57.0083682008368,55.6940980881131,54.8410799726589,51.4839491217444,48.8321153543926,46.4201563187359,46.4201563187359,44.8638613861386,43.5897998595506,41.9806600704494,43.4623813002191,44.3672839506173,45.8060288335518,45.9539222131447,46.7265047518479,45.4227812718379,44.8227238405996,42.1201905857409,42.6638176638177,43.2976942865676,44.4178032810432,46.3531149270989,46.8131789175639,47.8440647933227,48.9729717024706,46.720297029703,41.025641025641,46.9532375820408,51.1067708333333,48.8586956521739,48.4431964970654,49.0692265220688,48.2995631337006,47.3871733966746,44.8430493273543,46.4374912898829,45.0958286358512,45.4691286553654,46.1165048543689,48.5807860262009,51.9505851755527,50.4822530864198,50.6172839506173,50.7113821138211,51.0497875741567,51.0497875741567,51.6136788638109,51.9673348181143,50.9857025116643,50.709939148073,49.3841137704712,49.3040387616306,49.2570170610897,51.3033444865135,51.8953068592058,50.6087274941575,47.4852304056715,48.5918230563003,49.6305418719212,48.6901818181818
"Beeville, TX",736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.287273122646,73.0210772833724,64.276048714479,65.9854950475019,70.9579320831221,69.9579831932773,70.4579576381997,69.1743938954892,72.2222222222222,75.7352941176471,78.5568065506653,71.0779944738719,73.6235595390525,70.3570682997619,69.5587846637242,69.0215599972103,65.3716847217034,68.0447470817121,67.0559193577096,70.4948289996887,71.7215622386682,71.4596275501854,71.4785518991653,72.5939441810231,70.4115684093437,68.1593220556566,68.9338235294118,68.1593220556566
"Miami, OK",737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.9965277777778,54.9692172383465,53.1598254086181,55.3091814159292,51.984126984127,51.9903273809524,55.3091814159292,56.0096153846154,60.95285942342,59.2290585618977,58.0601092896175,61.9521953327102,61.703025477707,61.703025477707,59.9531615925059,61.1519607843137,63.758865248227,61.4107834491821,61.8804664723032,62.1647509578544,61.9178172959274,63.758865248227,61.6392286325097,61.3411478736781,61.5901455767077,59.0646908401333,58.5144246648671,58.363309352518,58.2398917659988,59.3860153256705,60.4176209418194,60.792349726776,60.0428921568627,60.9677419354839,60.5194805194805,63.8045384422674,62.3128119800333,63.0440874914559,62.3128119800333,61.6158080247212,62.103069120613,64.1524105754277,64.0224358974359,65.0749802683504,64.4242934004365,65.1661176650398,64.3356643356643,61.5692554043235,61.9909214084554,63.6782116692831,63.6446886446886
"Dayton, TN",738,93.9412331828739,92.3664122137405,92.8018575851393,93.6875,94.2105263157895,93.7451133698202,94.2105263157895,95,94.9689440993789,96.2636514719848,98.3384089330555,96.1538461538462,94.2277247956403,92.8109857978279,92.2352523098792,91.9416243654822,92.4844720496894,94.572125397667,93.5823256467941,94.438170525127,93.0900621118012,90.4751297684048,89.4842836477608,89.2096920289855,89.8234838259941,90.29291456045,89.2113095238095,89.9869109947644,89.9869109947644,89.9345335515548,90.2083333333333,90.20043622142,89.9869109947644,90.2083333333333,90.5857740585774,89.9504531517997,89.2857142857143,91.1680911680912,94.2222133300954,96.5850515463918,97.0925784238715,99.7043816175214,100.249524943513,97.4586288416076,96.1038652309116,97.0979721262802,94.0212150433944,96.0576923076923,96.0576923076923,96.3793982661907,96.4810518174787,99.0675990675991,101.683619782532,101.293617120182,102.919156706507,101.191489361702,95.4326923076923,98.4969879518072,94.3268645851627,94.6153846153846,92.4501424501425,93.5026041666667,97.9876160990712,100,98.1995719636169,103.186097031137,100.40187541862,103.960277985964,100.139275766017,98.3293778874755,99.1666666666667,99.1666666666667,95.4192546583851,96.4447806354009,96.4447806354009,99.0093847758081,97.3357419020227,95.374449339207,99.0681844513961,99.3786890338614,100.251659068063,101.37987012987,102.678571428571,102.483212502971,99.6523074798937,99.3786890338614,100.084175084175,103.796203796204,105.767195767196,109.89010989011,112.990964755078,110.285244818473,109.58904109589,106.481481481481,106.481481481481,103.793981481481,106.184241333392
"Washington, IN",739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0816532258064,60.8355091383812,61.4348353145322,60.2678571428571,62.2895622895623,64.526455026455,62.753036437247,65.3547297297297,65.9722222222222,75.674882629108,76.5238237079515,71.875,67.3086408476434,70.6538434598143,68.5443472300493,67.4603174603175,67.4603174603175,64.4585583374243,64.2412073276799,72.3958333333333,74.1741049329644,74.2166648183062,72.8451333960859,71.9169719169719,77.0529645462296,75,77.9936594202898,77.8623188405797,79.757414819376,82.5670565825646,82.3223570190641,77.9251170046802
"Camden, AR",740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.9112547827675,56.6696914700544,54.8371647509579,56.7967212827923,56.2315632657725,56.2315632657725,53.588195841717,54.1931336963097,54.941770555767,52.3851331577407,50.175702811245,49.9288688936988,48.7795575896262,47.3901098901099,51.0610079575597,51.3978494623656,58.1456283312833,59.5449620801733,57.0378151260504,59.9333333333333,59.2345885232918,59.7438810006761,54.8743535875889,51.9930675909879,51.8911439114391,52.4049844997193,48.8958871286668,46.0824925050772,48.3673518742443,49.0025165168323,52.3399014778325,50.9726034628378,53.7199998796384,48.7770890008088,48.8934637159032,51.26953125,51.9791666666667,54.0641312453393,50.5952380952381,50.867891306633,51.140544518028,58.3605357657924,58.9788732394366,57.2916666666667,57.0596704818838,57.1705426356589,54.4629349470499,55.1139037892009,52.6838966202783
